user_id,age_min,age_max,max_distance_km,genders,orientations
30,26,38,10,['male'],"['straight', 'gay', 'bi', 'queer']"
31,25,32,10,['male'],"['straight', 'gay', 'bi', 'queer']"
32,24,32,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
33,22,34,100,['female'],"['straight', 'gay', 'bi', 'queer']"
34,26,38,25,['female'],"['straight', 'gay', 'bi', 'queer']"
35,27,36,10,['male'],"['straight', 'gay', 'bi', 'queer']"
36,33,45,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
37,18,22,25,['female'],"['straight', 'gay', 'bi', 'queer']"
38,18,26,50,['female'],"['straight', 'gay', 'bi', 'queer']"
39,32,44,75,['male'],"['straight', 'gay', 'bi', 'queer']"
40,18,22,100,['male'],"['straight', 'gay', 'bi', 'queer']"
41,19,27,25,['male'],"['straight', 'gay', 'bi', 'queer']"
42,19,27,10,['female'],"['straight', 'gay', 'bi', 'queer']"
43,35,47,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
44,36,45,25,['female'],"['straight', 'gay', 'bi', 'queer']"
45,18,22,10,['male'],"['straight', 'gay', 'bi', 'queer']"
46,20,27,10,['female'],"['straight', 'gay', 'bi', 'queer']"
47,20,28,75,['male'],"['straight', 'gay', 'bi', 'queer']"
48,18,27,75,['male'],"['straight', 'gay', 'bi', 'queer']"
49,19,31,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
50,26,31,75,['male'],"['straight', 'gay', 'bi', 'queer']"
51,29,36,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
52,37,43,25,['male'],"['straight', 'gay', 'bi', 'queer']"
53,30,39,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
54,28,34,75,['male'],"['straight', 'gay', 'bi', 'queer']"
55,26,36,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
56,27,39,25,['female'],"['straight', 'gay', 'bi', 'queer']"
57,31,38,50,['male'],"['straight', 'gay', 'bi', 'queer']"
58,23,28,10,['male'],"['straight', 'gay', 'bi', 'queer']"
59,22,33,50,['female'],"['straight', 'gay', 'bi', 'queer']"
60,20,30,75,['female'],"['straight', 'gay', 'bi', 'queer']"
61,26,33,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
62,24,29,75,['female'],"['straight', 'gay', 'bi', 'queer']"
63,26,39,75,['male'],"['straight', 'gay', 'bi', 'queer']"
64,30,37,10,['female'],"['straight', 'gay', 'bi', 'queer']"
65,24,28,75,['male'],"['straight', 'gay', 'bi', 'queer']"
66,18,25,100,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
67,23,31,100,['male'],"['straight', 'gay', 'bi', 'queer']"
68,18,28,50,['female'],"['straight', 'gay', 'bi', 'queer']"
69,24,34,50,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
70,25,32,25,['male'],"['straight', 'gay', 'bi', 'queer']"
71,28,38,50,['male'],"['straight', 'gay', 'bi', 'queer']"
72,20,28,75,['female'],"['straight', 'gay', 'bi', 'queer']"
73,22,33,10,['male'],"['straight', 'gay', 'bi', 'queer']"
74,23,35,50,['male'],"['straight', 'gay', 'bi', 'queer']"
75,33,47,10,['female'],"['straight', 'gay', 'bi', 'queer']"
76,18,27,100,['female'],"['straight', 'gay', 'bi', 'queer']"
77,37,48,100,['female'],"['straight', 'gay', 'bi', 'queer']"
78,18,26,25,['female'],"['straight', 'gay', 'bi', 'queer']"
79,28,36,100,['male'],"['straight', 'gay', 'bi', 'queer']"
80,19,30,50,['female'],"['straight', 'gay', 'bi', 'queer']"
81,22,33,50,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
82,25,30,75,['male'],"['straight', 'gay', 'bi', 'queer']"
83,18,25,25,['female'],"['straight', 'gay', 'bi', 'queer']"
84,18,29,10,['female'],"['straight', 'gay', 'bi', 'queer']"
85,35,43,50,['female'],"['straight', 'gay', 'bi', 'queer']"
86,39,49,100,['female'],"['straight', 'gay', 'bi', 'queer']"
87,30,40,25,['male'],"['straight', 'gay', 'bi', 'queer']"
88,28,37,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
89,22,33,50,['male'],"['straight', 'gay', 'bi', 'queer']"
90,31,36,25,['male'],"['straight', 'gay', 'bi', 'queer']"
91,25,34,50,['female'],"['straight', 'gay', 'bi', 'queer']"
92,26,33,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
93,22,33,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
94,20,33,100,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
95,28,35,25,['female'],"['straight', 'gay', 'bi', 'queer']"
96,19,28,25,['male'],"['straight', 'gay', 'bi', 'queer']"
97,29,37,75,['male'],"['straight', 'gay', 'bi', 'queer']"
98,21,28,75,['male'],"['straight', 'gay', 'bi', 'queer']"
99,29,40,75,['female'],"['straight', 'gay', 'bi', 'queer']"
100,29,39,10,['female'],"['straight', 'gay', 'bi', 'queer']"
101,27,40,100,['female'],"['straight', 'gay', 'bi', 'queer']"
102,20,30,50,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
103,19,29,75,['male'],"['straight', 'gay', 'bi', 'queer']"
104,33,41,75,['female'],"['straight', 'gay', 'bi', 'queer']"
105,28,36,100,['male'],"['straight', 'gay', 'bi', 'queer']"
106,23,33,75,['male'],"['straight', 'gay', 'bi', 'queer']"
107,22,30,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
108,29,34,100,['male'],"['straight', 'gay', 'bi', 'queer']"
109,19,29,25,['female'],"['straight', 'gay', 'bi', 'queer']"
110,26,36,50,['male'],"['straight', 'gay', 'bi', 'queer']"
111,26,33,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
112,22,28,75,['male'],"['straight', 'gay', 'bi', 'queer']"
113,18,25,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
114,29,39,100,['male'],"['straight', 'gay', 'bi', 'queer']"
115,19,26,25,['female'],"['straight', 'gay', 'bi', 'queer']"
116,20,27,50,['male'],"['straight', 'gay', 'bi', 'queer']"
117,33,42,50,['male'],"['straight', 'gay', 'bi', 'queer']"
118,29,35,75,['female'],"['straight', 'gay', 'bi', 'queer']"
119,23,28,10,['male'],"['straight', 'gay', 'bi', 'queer']"
120,30,38,10,['male'],"['straight', 'gay', 'bi', 'queer']"
121,31,42,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
122,27,33,100,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
123,28,38,10,['male'],"['straight', 'gay', 'bi', 'queer']"
124,26,39,50,['male'],"['straight', 'gay', 'bi', 'queer']"
125,18,23,100,['male'],"['straight', 'gay', 'bi', 'queer']"
126,29,39,10,['male'],"['straight', 'gay', 'bi', 'queer']"
127,32,39,10,['male'],"['straight', 'gay', 'bi', 'queer']"
128,26,36,50,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
129,32,41,10,['male'],"['straight', 'gay', 'bi', 'queer']"
130,21,31,100,['male'],"['straight', 'gay', 'bi', 'queer']"
131,18,25,100,['male'],"['straight', 'gay', 'bi', 'queer']"
132,33,43,75,['female'],"['straight', 'gay', 'bi', 'queer']"
133,23,32,50,['male'],"['straight', 'gay', 'bi', 'queer']"
134,27,33,75,['female'],"['straight', 'gay', 'bi', 'queer']"
135,20,26,50,['male'],"['straight', 'gay', 'bi', 'queer']"
136,23,30,50,['female'],"['straight', 'gay', 'bi', 'queer']"
137,29,38,100,['male'],"['straight', 'gay', 'bi', 'queer']"
138,19,29,75,['male'],"['straight', 'gay', 'bi', 'queer']"
139,22,29,100,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
140,31,40,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
141,26,35,75,"['male', 'female', 'nonbinary', 'other']","['straight', 'gay', 'bi', 'queer']"
142,18,23,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
143,30,38,10,['female'],"['straight', 'gay', 'bi', 'queer']"
144,24,36,75,['male'],"['straight', 'gay', 'bi', 'queer']"
145,31,42,75,['female'],"['straight', 'gay', 'bi', 'queer']"
146,18,26,100,['male'],"['straight', 'gay', 'bi', 'queer']"
147,22,33,100,['female'],"['straight', 'gay', 'bi', 'queer']"
148,21,28,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
149,22,32,100,['male'],"['straight', 'gay', 'bi', 'queer']"
150,18,22,25,['female'],"['straight', 'gay', 'bi', 'queer']"
151,30,40,10,['male'],"['straight', 'gay', 'bi', 'queer']"
152,21,30,100,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
153,31,37,50,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
154,22,31,100,['male'],"['straight', 'gay', 'bi', 'queer']"
155,27,37,25,['female'],"['straight', 'gay', 'bi', 'queer']"
156,29,34,10,['male'],"['straight', 'gay', 'bi', 'queer']"
157,18,24,10,['male'],"['straight', 'gay', 'bi', 'queer']"
158,24,35,75,['male'],"['straight', 'gay', 'bi', 'queer']"
159,23,35,25,['female'],"['straight', 'gay', 'bi', 'queer']"
160,25,32,75,['male'],"['straight', 'gay', 'bi', 'queer']"
161,24,35,10,['male'],"['straight', 'gay', 'bi', 'queer']"
162,34,41,10,['male'],"['straight', 'gay', 'bi', 'queer']"
163,24,31,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
164,18,25,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
165,34,40,10,['female'],"['straight', 'gay', 'bi', 'queer']"
166,28,36,10,['male'],"['straight', 'gay', 'bi', 'queer']"
167,38,44,100,['male'],"['straight', 'gay', 'bi', 'queer']"
168,33,45,100,['female'],"['straight', 'gay', 'bi', 'queer']"
169,23,32,10,['female'],"['straight', 'gay', 'bi', 'queer']"
170,21,31,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
171,27,33,50,['male'],"['straight', 'gay', 'bi', 'queer']"
172,42,51,100,['male'],"['straight', 'gay', 'bi', 'queer']"
173,24,30,75,['male'],"['straight', 'gay', 'bi', 'queer']"
174,26,38,50,['female'],"['straight', 'gay', 'bi', 'queer']"
175,24,35,10,['male'],"['straight', 'gay', 'bi', 'queer']"
176,18,27,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
177,22,29,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
178,24,31,10,['female'],"['straight', 'gay', 'bi', 'queer']"
179,26,36,75,['male'],"['straight', 'gay', 'bi', 'queer']"
180,30,38,25,['male'],"['straight', 'gay', 'bi', 'queer']"
181,24,32,100,['male'],"['straight', 'gay', 'bi', 'queer']"
182,35,40,10,['female'],"['straight', 'gay', 'bi', 'queer']"
183,18,22,25,['female'],"['straight', 'gay', 'bi', 'queer']"
184,25,35,75,['male'],"['straight', 'gay', 'bi', 'queer']"
185,22,27,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
186,20,30,75,['other'],"['straight', 'gay', 'bi', 'queer']"
187,19,28,75,['male'],"['straight', 'gay', 'bi', 'queer']"
188,31,37,50,['female'],"['straight', 'gay', 'bi', 'queer']"
189,25,37,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
190,21,32,25,['male'],"['straight', 'gay', 'bi', 'queer']"
191,24,35,10,['female'],"['straight', 'gay', 'bi', 'queer']"
192,35,42,25,['male'],"['straight', 'gay', 'bi', 'queer']"
193,38,52,100,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
194,18,31,25,['female'],"['straight', 'gay', 'bi', 'queer']"
195,25,39,25,['female'],"['straight', 'gay', 'bi', 'queer']"
196,29,43,25,['female'],"['straight', 'gay', 'bi', 'queer']"
197,18,25,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
198,41,52,10,['male'],"['straight', 'gay', 'bi', 'queer']"
199,24,34,75,['female'],"['straight', 'gay', 'bi', 'queer']"
200,18,25,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
201,21,28,75,['female'],"['straight', 'gay', 'bi', 'queer']"
202,18,27,100,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
203,26,36,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
204,18,26,100,['female'],"['straight', 'gay', 'bi', 'queer']"
205,18,30,75,['female'],"['straight', 'gay', 'bi', 'queer']"
206,18,20,10,['male'],"['straight', 'gay', 'bi', 'queer']"
207,18,26,75,['female'],"['straight', 'gay', 'bi', 'queer']"
208,23,31,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
209,28,36,50,['female'],"['straight', 'gay', 'bi', 'queer']"
210,24,37,75,['male'],"['straight', 'gay', 'bi', 'queer']"
211,32,42,100,['male'],"['straight', 'gay', 'bi', 'queer']"
212,18,25,75,['female'],"['straight', 'gay', 'bi', 'queer']"
213,18,20,50,['female'],"['straight', 'gay', 'bi', 'queer']"
214,18,24,75,['male'],"['straight', 'gay', 'bi', 'queer']"
215,27,37,100,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
216,24,37,50,['male'],"['straight', 'gay', 'bi', 'queer']"
217,18,22,75,['female'],"['straight', 'gay', 'bi', 'queer']"
218,31,39,50,['female'],"['straight', 'gay', 'bi', 'queer']"
219,18,20,50,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
220,21,31,100,['female'],"['straight', 'gay', 'bi', 'queer']"
221,23,31,100,['female'],"['straight', 'gay', 'bi', 'queer']"
222,18,28,50,['male'],"['straight', 'gay', 'bi', 'queer']"
223,32,41,50,['female'],"['straight', 'gay', 'bi', 'queer']"
224,23,27,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
225,19,31,50,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
226,25,32,10,['male'],"['straight', 'gay', 'bi', 'queer']"
227,18,28,75,['male'],"['straight', 'gay', 'bi', 'queer']"
228,18,21,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
229,27,36,50,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
230,19,28,50,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
231,24,33,25,['female'],"['straight', 'gay', 'bi', 'queer']"
232,18,27,100,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
233,22,31,10,['male'],"['straight', 'gay', 'bi', 'queer']"
234,37,46,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
235,21,28,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
236,18,26,100,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
237,27,35,25,['male'],"['straight', 'gay', 'bi', 'queer']"
238,27,35,100,['female'],"['straight', 'gay', 'bi', 'queer']"
239,24,35,100,['female'],"['straight', 'gay', 'bi', 'queer']"
240,18,27,25,['female'],"['straight', 'gay', 'bi', 'queer']"
241,18,22,100,['female'],"['straight', 'gay', 'bi', 'queer']"
242,25,38,75,['female'],"['straight', 'gay', 'bi', 'queer']"
243,29,37,75,['female'],"['straight', 'gay', 'bi', 'queer']"
244,21,29,100,['male'],"['straight', 'gay', 'bi', 'queer']"
245,41,53,100,['male'],"['straight', 'gay', 'bi', 'queer']"
246,28,37,75,['female'],"['straight', 'gay', 'bi', 'queer']"
247,19,28,10,['male'],"['straight', 'gay', 'bi', 'queer']"
248,28,40,50,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
249,20,30,100,['male'],"['straight', 'gay', 'bi', 'queer']"
250,29,39,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
251,18,28,25,['male'],"['straight', 'gay', 'bi', 'queer']"
252,36,46,100,['female'],"['straight', 'gay', 'bi', 'queer']"
253,26,40,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
254,26,40,50,['female'],"['straight', 'gay', 'bi', 'queer']"
255,24,33,25,['male'],"['straight', 'gay', 'bi', 'queer']"
256,18,26,50,['female'],"['straight', 'gay', 'bi', 'queer']"
257,25,33,10,['female'],"['straight', 'gay', 'bi', 'queer']"
258,28,39,25,['male'],"['straight', 'gay', 'bi', 'queer']"
259,26,39,50,['male'],"['straight', 'gay', 'bi', 'queer']"
260,23,33,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
261,25,29,50,['male'],"['straight', 'gay', 'bi', 'queer']"
262,18,29,25,['nonbinary'],"['straight', 'gay', 'bi', 'queer']"
263,23,36,75,['female'],"['straight', 'gay', 'bi', 'queer']"
264,27,34,10,['male'],"['straight', 'gay', 'bi', 'queer']"
265,41,46,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
266,26,35,75,['male'],"['straight', 'gay', 'bi', 'queer']"
267,35,43,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
268,38,45,50,['male'],"['straight', 'gay', 'bi', 'queer']"
269,18,26,100,['female'],"['straight', 'gay', 'bi', 'queer']"
270,30,37,100,['female'],"['straight', 'gay', 'bi', 'queer']"
271,24,35,75,['male'],"['straight', 'gay', 'bi', 'queer']"
272,18,23,50,['female'],"['straight', 'gay', 'bi', 'queer']"
273,39,43,25,['male'],"['straight', 'gay', 'bi', 'queer']"
274,18,25,10,['female'],"['straight', 'gay', 'bi', 'queer']"
275,29,38,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
276,26,38,75,['male'],"['straight', 'gay', 'bi', 'queer']"
277,26,39,50,['female'],"['straight', 'gay', 'bi', 'queer']"
278,24,31,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
279,24,33,25,['male'],"['straight', 'gay', 'bi', 'queer']"
280,23,33,50,['female'],"['straight', 'gay', 'bi', 'queer']"
281,24,30,10,['female'],"['straight', 'gay', 'bi', 'queer']"
282,18,28,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
283,26,30,75,['male'],"['straight', 'gay', 'bi', 'queer']"
284,26,33,10,['male'],"['straight', 'gay', 'bi', 'queer']"
285,25,34,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
286,20,24,75,['female'],"['straight', 'gay', 'bi', 'queer']"
287,18,26,100,['female'],"['straight', 'gay', 'bi', 'queer']"
288,31,40,50,['female'],"['straight', 'gay', 'bi', 'queer']"
289,32,42,75,['female'],"['straight', 'gay', 'bi', 'queer']"
290,21,33,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
291,24,36,50,['male'],"['straight', 'gay', 'bi', 'queer']"
292,32,38,10,['male'],"['straight', 'gay', 'bi', 'queer']"
293,22,34,50,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
294,27,34,75,['male'],"['straight', 'gay', 'bi', 'queer']"
295,24,33,75,['male'],"['straight', 'gay', 'bi', 'queer']"
296,32,45,75,['male'],"['straight', 'gay', 'bi', 'queer']"
297,24,33,25,['male'],"['straight', 'gay', 'bi', 'queer']"
298,24,34,75,['male'],"['straight', 'gay', 'bi', 'queer']"
299,27,38,10,['male'],"['straight', 'gay', 'bi', 'queer']"
300,28,36,75,['male'],"['straight', 'gay', 'bi', 'queer']"
301,19,27,75,['female'],"['straight', 'gay', 'bi', 'queer']"
302,31,35,10,['female'],"['straight', 'gay', 'bi', 'queer']"
303,27,39,10,['female'],"['straight', 'gay', 'bi', 'queer']"
304,36,46,75,['male'],"['straight', 'gay', 'bi', 'queer']"
305,28,40,100,['female'],"['straight', 'gay', 'bi', 'queer']"
306,25,32,100,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
307,31,42,10,['male'],"['straight', 'gay', 'bi', 'queer']"
308,20,26,100,['male'],"['straight', 'gay', 'bi', 'queer']"
309,20,29,50,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
310,21,28,75,['female'],"['straight', 'gay', 'bi', 'queer']"
311,18,29,75,['male'],"['straight', 'gay', 'bi', 'queer']"
312,21,31,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
313,37,46,100,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
314,24,38,75,['male'],"['straight', 'gay', 'bi', 'queer']"
315,22,31,75,['female'],"['straight', 'gay', 'bi', 'queer']"
316,35,43,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
317,18,29,50,['male'],"['straight', 'gay', 'bi', 'queer']"
318,25,31,100,['female'],"['straight', 'gay', 'bi', 'queer']"
319,32,43,100,['male'],"['straight', 'gay', 'bi', 'queer']"
320,21,33,50,['male'],"['straight', 'gay', 'bi', 'queer']"
321,20,32,10,['male'],"['straight', 'gay', 'bi', 'queer']"
322,21,34,50,['female'],"['straight', 'gay', 'bi', 'queer']"
323,25,33,25,['female'],"['straight', 'gay', 'bi', 'queer']"
324,24,30,25,['female'],"['straight', 'gay', 'bi', 'queer']"
325,18,23,50,['female'],"['straight', 'gay', 'bi', 'queer']"
326,21,34,50,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
327,31,38,100,['male'],"['straight', 'gay', 'bi', 'queer']"
328,21,29,25,['female'],"['straight', 'gay', 'bi', 'queer']"
329,35,44,75,['male'],"['straight', 'gay', 'bi', 'queer']"
330,29,38,75,['male'],"['straight', 'gay', 'bi', 'queer']"
331,33,45,75,['male'],"['straight', 'gay', 'bi', 'queer']"
332,21,34,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
333,22,28,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
334,18,20,25,['nonbinary'],"['straight', 'gay', 'bi', 'queer']"
335,18,25,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
336,23,31,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
337,25,33,50,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
338,25,34,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
339,18,28,75,['female'],"['straight', 'gay', 'bi', 'queer']"
340,23,31,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
341,18,28,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
342,31,38,100,['female'],"['straight', 'gay', 'bi', 'queer']"
343,18,28,25,['male'],"['straight', 'gay', 'bi', 'queer']"
344,31,38,25,['male'],"['straight', 'gay', 'bi', 'queer']"
345,25,34,100,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
346,26,35,100,['male'],"['straight', 'gay', 'bi', 'queer']"
347,22,30,25,['male'],"['straight', 'gay', 'bi', 'queer']"
348,26,37,75,['female'],"['straight', 'gay', 'bi', 'queer']"
349,18,26,10,['male'],"['straight', 'gay', 'bi', 'queer']"
350,26,38,100,['male'],"['straight', 'gay', 'bi', 'queer']"
351,24,34,75,['male'],"['straight', 'gay', 'bi', 'queer']"
352,22,28,75,['male'],"['straight', 'gay', 'bi', 'queer']"
353,32,41,100,['male'],"['straight', 'gay', 'bi', 'queer']"
354,27,37,100,['male'],"['straight', 'gay', 'bi', 'queer']"
355,18,22,75,['female'],"['straight', 'gay', 'bi', 'queer']"
356,19,28,100,['female'],"['straight', 'gay', 'bi', 'queer']"
357,24,30,100,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
358,20,28,50,['female'],"['straight', 'gay', 'bi', 'queer']"
359,38,50,75,['female'],"['straight', 'gay', 'bi', 'queer']"
360,20,31,100,['female'],"['straight', 'gay', 'bi', 'queer']"
361,28,39,75,['male'],"['straight', 'gay', 'bi', 'queer']"
362,24,35,50,['female'],"['straight', 'gay', 'bi', 'queer']"
363,20,26,50,['female'],"['straight', 'gay', 'bi', 'queer']"
364,27,39,25,['male'],"['straight', 'gay', 'bi', 'queer']"
365,18,32,100,['female'],"['straight', 'gay', 'bi', 'queer']"
366,34,40,10,['female'],"['straight', 'gay', 'bi', 'queer']"
367,18,30,10,['female'],"['straight', 'gay', 'bi', 'queer']"
368,27,37,50,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
369,18,28,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
370,18,26,50,['female'],"['straight', 'gay', 'bi', 'queer']"
371,36,46,75,['female'],"['straight', 'gay', 'bi', 'queer']"
372,21,28,25,['female'],"['straight', 'gay', 'bi', 'queer']"
373,21,30,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
374,18,20,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
375,23,33,10,['female'],"['straight', 'gay', 'bi', 'queer']"
376,22,35,100,['male'],"['straight', 'gay', 'bi', 'queer']"
377,33,41,100,['female'],"['straight', 'gay', 'bi', 'queer']"
378,30,40,50,['female'],"['straight', 'gay', 'bi', 'queer']"
379,22,33,75,['male'],"['straight', 'gay', 'bi', 'queer']"
380,25,35,100,['female'],"['straight', 'gay', 'bi', 'queer']"
381,26,36,25,['female'],"['straight', 'gay', 'bi', 'queer']"
382,20,31,25,['male'],"['straight', 'gay', 'bi', 'queer']"
383,18,23,50,['female'],"['straight', 'gay', 'bi', 'queer']"
384,24,29,25,['female'],"['straight', 'gay', 'bi', 'queer']"
385,32,41,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
386,25,38,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
387,23,35,25,['female'],"['straight', 'gay', 'bi', 'queer']"
388,18,26,10,['male'],"['straight', 'gay', 'bi', 'queer']"
389,25,37,10,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
390,19,32,25,['male'],"['straight', 'gay', 'bi', 'queer']"
391,19,26,25,['female'],"['straight', 'gay', 'bi', 'queer']"
392,34,42,50,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
393,28,38,25,['male'],"['straight', 'gay', 'bi', 'queer']"
394,23,30,100,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
395,20,26,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
396,27,36,25,['male'],"['straight', 'gay', 'bi', 'queer']"
397,27,37,50,['female'],"['straight', 'gay', 'bi', 'queer']"
398,18,25,100,['female'],"['straight', 'gay', 'bi', 'queer']"
